Produkt,Mengde,Pris,Per KG
økologiske solsikkefrø s ,,29,580.0
økologiske solsikkefrø s ,,89,1780.0
økologiske solsikkefrø s ,,239,4780.0
Erter  ,,29,580.0
Erter  ,,89,1780.0
Erter  ,,239,4780.0
Karse  ,,39,780.0
Karse  ,,119,2380.0
Karse  ,,319,6380.0
Rødbete ´Detroit´   ,,49,980.0
Rødbete ´Detroit´   ,,149,2980.0
Rødbete ´Detroit´   ,,399,7980.0
Bladpersille  ,,49,980.0
Bladpersille  ,,149,2980.0
Bladpersille  ,,399,7980.0
Fennikel  ,,59,1180.0
Fennikel  ,,179,3580.0
Fennikel  ,,479,9580.0
Koriander  ,,49,980.0
Koriander  ,,149,2980.0
Koriander  ,,399,7980.0
Reddik Daikon microgreensfrø ,,49,980.0
Reddik Daikon microgreensfrø ,,149,2980.0
Reddik Daikon microgreensfrø ,,399,7980.0
Reddik ´China rose´ økologisk  ,,59,1180.0
Reddik ´China rose´ økologisk  ,,179,3580.0
Reddik ´China rose´ økologisk  ,,479,9580.0
Reddik ´Rambo´  ,,59,1180.0
Reddik ´Rambo´  ,,179,3580.0
Reddik ´Rambo´  ,,479,9580.0
Sennep rød  ,,59,1180.0
Sennep rød  ,,179,3580.0
Sennep rød  ,,479,9580.0
Brokkoli calabrese  ,,59,1180.0
Brokkoli calabrese  ,,179,3580.0
Brokkoli calabrese  ,,479,9580.0
Mizuna Grønn  ,,59,1180.0
Mizuna Grønn  ,,179,3580.0
Mizuna Grønn  ,,479,9580.0
Rødkål Russian  ,,69,1380.0
Rødkål Russian  ,,209,4180.0
Rødkål Russian  ,,559,11180.0
Tatsoi  ,,59,1180.0
Tatsoi  ,,179,3580.0
Tatsoi  ,,479,9580.0
Basilikum rød  ,,79,1580.0
Basilikum rød  ,,239,4780.0
Basilikum rød  ,,639,12780.0
Ruccola  ,,49,980.0
Ruccola  ,,149,2980.0
Ruccola  ,,399,7980.0
Pak Choi  ,,59,1180.0
Pak Choi  ,,179,3580.0
Pak Choi  ,,479,9580.0
Selleri  ,,69,1380.0
Selleri  ,,209,4180.0
Selleri  ,,559,11180.0
Grønnkål  ,,79,1580.0
Grønnkål  ,,239,4780.0
Grønnkål  ,,639,12780.0
